region;superf_ha_2003;rdt_kg_ha_2003;prod_tonn_2003;superf_ha_2004;rdt_kg_ha_2004;prod_tonn_2004;superf_ha_2005;rdt_kg_ha_2005;prod_tonn_2005;superf_ha_2006;rdt_kg_ha_2006;prod_tonn_2006;superf_ha_2007;rdt_kg_ha_2007;prod_tonn_2007;superf_ha_2008;rdt_kg_ha_2008;prod_tonn_2008;superf_ha_2009;rdt_kg_ha_2009;prod_tonn_2009;superf_ha_2010;rdt_kg_ha_2010;prod_tonn_2010;superf_ha_2011;rdt_kg_ha_2011;prod_tonn_2011;superf_ha_2012;rdt_kg_ha_2012;prod_tonn_2012
Dakar;145;357;51,765;84;200;16,8;775;500;387,5;559;400;223,6;517;175;90,475;479;650;311,35;1179,09673;841,3636364;992,0491125;1786;700;1250,2;3045,111988;633;1927,555888;1871,038207;702;1313,468821
Diourbel;33381;1637;17877,116;48566;740;9385,56;33562;1990;21713,93;31788;747;7966,296;30983;1344;13043,062;40888;1736;23012,663;120382,7726;2193,441379;87427,82205;104180;2399;81737,588;91001,79918;1559,458559;45942,99329;73594,59068;2398;58674,88828
Fatick;48934;2697;46559,577;70811;2350;58395,019;84549;2583;75063,648;68189;3029;73799,818;68988;1193;30588,023;68796;2530;58755,791;110412,3545;4177,766667;155549,2033;146860;3636;186736,776;123019,9318;1687,5;65704,63976;92397;3135;97002,945
Kaffrine;95833;1100;105416,3;154592;1188;183655,296;163851;920;150742,92;111482;757;84391,874;94138;377;35490,026;139750;1151;135559;194359,2142;4053,186247;203020,91;265446;5424;348673,202;156792,8018;3320,028873;127579,8201;126597;4209;129437,37
Kaolack;60742;2144;66978,496;102961;2240;123716,257;108077;1803;100105,347;90339;2038;96273,111;113279;1199;85802,191;137902;1663;121905,599;160665,8007;2974,656926;166683,6499;151746;3064;158050,739;129895,5287;1955,636667;84403,60159;107281;3091;114613,125
Kolda;41634;2783;57880,583;58943;2588;78831,734;65503;2799;96571,809;64787;2100;70161,5;53575;1762;51411,53;97503;2684;137393,096;67368,80659;3575;74931,82067;57287;4954;94203,34;37996,29126;2740,266667;34695,20829;36905,35742;3908;47465,36782
SŽdhiou;11331;1026;11625,606;20302;1033;20971,966;58849;1272;74855,928;35337;959;33888,183;41860;673;28171,78;38074;1013;38568,962;40825,33509;3149,551724;42942,52076;39528;3358;44977,747;41052,60333;2264,352632;30671,08475;21299;3320;24124,45
Louga;106493;1053;34755,717;138857;453;20341,348;98618;1733;57216,572;79089;896;23490,281;86498;830;23411,83;112595;1547;56951,385;199488,4867;2158,856128;150318,0868;183516;2143;125462,154;127997,3428;1021,266667;45623,65464;97613;2142;70279,854
Saint Louis;4545;915;2177,835;9968;1,9;14,7003;6757;970;2682,25;5630;410;1130,84;6509;455;1428,665;6530;632;2047,298;6921,76366;801,8092308;2426,780904;10404;843;4408,505;9859,525741;424,1266667;2091,876361;12053,99203;702;3777,348211
Tambacounda;52932;2351;63042,438;63183;2568;78468,82;64256;2127;66642,145;36534;1225;23468,7;35667;1522;29076,272;77444;1869;70027,812;63204,28305;3547,518519;59884,87413;91883;4026;98479,119;41645,9907;2635,82623;26794,78757;37210;3973,47065;39076,02331
ThiŹs;51704;1120;17946,12;56003;389;6735,592;60129;1798;32903,132;51616;1734;29353,818;56018;1089;21412,559;74407;1750;43258,47;68585,60134;2721,583051;63566,60533;110170;2927;110375,701;83435,46119;1888,58;45802,0666;78632;3051,608276;75917,24552
Ziguinchor;12368;2551;11616,093;15720;2986;17591,728;21172;2958;19426,879;14078;3000;12360,2;13921;1700;7665,737;21120;2839;18428,26;17740,94263;2578,214286;17538,11615;22630;2984;22979,922;11961,56977;2452,746452;8226,355988;10685,57603;3226,857037;11991,23817
Matam;1271;790;376,41;2792;600;558,4;2135;1500;1290,75;1033;950;321,95;1673;471;448,149;1559;1700;1373,7;1978,64973;1522,266667;1105,975362;3372;2335;2564,66;1880,866651;2220;1363,380337;1638,799669;2255;1232,12518
KŽdougou;3530;1248;4405,44;4521;871;3937,791;4072;926;3770,672;3803;960;3650,88;3381;745;2518,845;4789;1123;5378,047;5503,958022;3116,606061;5691,379313;6765;3101;6955,835;6185,174061;3315,333333;6701,095197;10130,61921;4314;14253,55135